Donor,donorcountryid
Coordination Of Rehabilitation Services For Afghanistan,Total DAC
COPE - The Cooperative Orthotic and Prosthetic Enterprise,Total DAC
Corporación Desarollo y Paz del Magdalena Medio,Total DAC
CPH - Comité Protos Haïti,Total DAC
CRAFOD,Total DAC
CRC - NGO Group for the Convention on the Rights of the Child,Total DAC
CRIC - Centro Regionale di Intervento per la Cooperazione,Total DAC
Crisis Action,Total DAC
Crisis Management Initiative,Total DAC
Cross InterNational Cathoilc Outreach,Total DAC
Culture and Free Thought Association,Total DAC
Custodia Franciscana en Tierra Santa,Total DAC
CWS Japan,Total DAC
Czech Evang. Diacony,Total DAC
Daaralsalam Development Association,Total DAC
Dabane Trust,Total DAC
DAC - Danish Afghan Committee,Total DAC
DACAAR,Total DAC
Damascus People Participation,Total DAC
Danchurchaid,Total DAC
Danchurchaid / Danish De-mining Group,Total DAC
Danish Association for InterNational Co-operation,Total DAC
Danish Committee for Aid to Afghan Refugees,Total DAC
Danish De-mining Centre,Total DAC
Danish De-mining Group,Total DAC
Danish InterNational Life Saving Association,Total DAC
Danish Mission Council,Total DAC
Danish Mission Council Development,Total DAC
Danish People's Aid,Total DAC
Danish People's Relief Association,Total DAC
Danish Refugee Board,Total DAC
Danish Refugee Council/ICVA,Total DAC
Danish-ethiopia commen initiative,Total DAC
Danmission,Total DAC
Darya Organization for Developing Woman and Community,Total DAC
dawa Islamic organization,Total DAC
De Norske Pinsemenigheters Ytremisjon,Total DAC
Defense for Children InterNational,Total DAC
DEH Relief and Development Organization,Total DAC
Delvon Assistance for Social Harmony (DASH),Total DAC
Demining Agency for Afghanistan,Total DAC
DEMIRA,Total DAC
Democratic Iraqi Women Group,Total DAC
Den norske Helsingforskomite,Total DAC
Det Norske Menneskerettighetsfond,Total DAC
Det norske Misjonsforbund,Total DAC
Detachement d'Intervention contre les Catasrophes et de Formation,Total DAC
Development Aid from People to People,Total DAC
Development Alternatives Inc.,Total DAC
Development and Regeneration Association,Total DAC
Development Education Network for Liberia,Total DAC
Development Frontiers International,Total DAC
Development Fund,Total DAC
Development Workshop,Total DAC
Developmental Action Without Border (Nabaa),Total DAC
Developpement & Paix,Total DAC
"Diakonia, Sweden",Total DAC
Diakonie Austria,Total DAC
Diakonie Emergency Aid,Total DAC
DIAKONISCHES WERK DER EKD,Total DAC
Diamer Poverty Alleviation Programme,Total DAC
DIGNI,Total DAC
Direct Aid,Total DAC
Direct Relief InterNational,Total DAC
DirectAid,Total DAC
Disabled Children's Care Organization,Total DAC
Disaster Mitigation Institute,Total DAC
Disaster Relief Agency,Total DAC
Docs Heal Africa,Total DAC
"DOCS HEAL AFRICA, Goma",Total DAC
Doctors of the World,Total DAC
Documentation Center of  Cambodia,Total DAC
Dominica Red Cross Society,Total DAC
Double Harvest,Total DAC
Douleurs san Frontières,Total DAC
DROPS,Total DAC
DSI - Danish Council of Organizations of Disabled People,Total DAC
Duhok Organization for Volunteer Youth,Total DAC
Eastern Community Development and Humanitarian Organization,Total DAC
Edinburgh Direct Aid,Total DAC
EducAid Onlus,Total DAC
Education Action InterNational,Total DAC
Education Health Social Awareness and Rehabilitation,Total DAC
EFICOR - Evangelical Fellowship of India Commission on Relief ,Total DAC
Eid Charity,Total DAC
El Ruhama Organization for Development and Humanitarian Aid,Total DAC
Electriciens sans frontières,Total DAC
EMERGENCY,Total DAC
EMERGENCY - Life Support for Civilian War Victims ONG Onlus,Total DAC
Emergency Architects,Total DAC
Emergency Nutrition Network,Total DAC
Emergency ONG,Total DAC
Emergency Relief InterNational,Total DAC
Emmanuel InterNational,Total DAC
Emmanuel InterNational of Canada,Total DAC
Emmaüs InterNational,Total DAC
Enfance Tiers Monde asbl,Total DAC
Enfants de Cusco,Total DAC
Enfants des rizières,Total DAC
Enfants du Monde,Total DAC
Enfants du Monde - Droits de l'Homme,Total DAC
Enfants et Développement,Total DAC
Enfants Refugies du Monde ,Total DAC
Eng Oppen Hand fir Malawi,Total DAC
Entrepreneurs du Monde,Total DAC
Environment Africa,Total DAC
EPER Lausanne,Total DAC
EPI-Center,Total DAC
EQUIP Liberia,Total DAC
ERIC,Total DAC
"Erikshjälpen, Sweden",Total DAC
Estonian Refugee Council,Total DAC
ETANA Press,Total DAC
Ethiopian Mine Action Center,Total DAC
Ethiopian Muslims Relief and Development Association,Total DAC
EuronAid,Total DAC
European Centre for Common Ground/Common Ground,Total DAC
European Centre for Conflict Prevention,Total DAC
European Committe for Agriculture and Training,Total DAC
European Perspective,Total DAC
Evangelical Children Rehabilitation Programme,Total DAC
Evangelisches Werk für Diakonie und Entwicklung e.V.,Total DAC
EXNORA,Total DAC
Fact Mutare,Total DAC
Fairmed,Total DAC
Family Planning Organization of the Philippines,Total DAC
Fangak Community Development Initiative,Total DAC
FARM Africa,Total DAC
Farm Community Trust of Zimbabwe,Total DAC
Farmer's Life Development Agency,Total DAC
Fashoda Youth Forum,Total DAC
FED. I. D. Ligues/Droits l'homme,Total DAC
Federation des ONG laiques à Vocation Economique du Congo ,Total DAC
Feed My Starving Children,Total DAC
Feed the Children,Total DAC
Fellowship for African Relief,Total DAC
Fellowship for African Relief ,Total DAC
FGMed,Total DAC
Fida InterNational (previously Finnish Free Foreign Mission),Total DAC
Film Aid,Total DAC
FilmAid,Total DAC
Finnchurchaid,Total DAC
Finnchurchaid/Mines Advisory Group,Total DAC
Fishermen of Christ Incorporated Philippines,Total DAC
Flemish Office for Development Co-Operation and Technical Assistance,Total DAC
Flood Damage Rehabilitation Committee,Total DAC
Flüchtlingshilfe Langen e.V.,Total DAC
Folkekirkens Nodhjaelp,Total DAC
Fondation de l'Ordre de Malte pour le Liban,Total DAC
Fonds voor OntwikkelingsSamenwerking,Total DAC
FONKOZE,Total DAC
Food for the Hungry ,Total DAC
Food Security Network,Total DAC
Formal Education Network for Private Schools,Total DAC
Forum for African Women Educationalist Gambia Chapter,Total DAC
Forum for Early Warning ,Total DAC
FORUT,Total DAC
FOSENET - NGO Food Security Network - Zimbabwe,Total DAC
Foundation for Rural Development,Total DAC
Four Homes of Mercy,Total DAC
Foyer des Jeunes de Morne l'Hopital,Total DAC
Framtiden i våre hender,Total DAC
France Terre d’Asile,Total DAC
Freedom of Expression and of Association,Total DAC
French NGOs,Total DAC
Frère des Hommes,Total DAC
Frères des Hommes,Total DAC
Freundschaftsbrucke Deutschland e.V.,Total DAC
Friedensdorf InterNational,Total DAC
Friends of Children Society,Total DAC
Friendship,Total DAC
Friendship Luxembourg,Total DAC
Front Line,Total DAC
Frontier Primary Health Care,Total DAC
Frontiers Ruwad,Total DAC
Fundación Acción Contra el Hambre,Total DAC
"FUNDACION ALIANZA POR LOS DERECHOS, LA IGUALD Y LA SOLIDARIDAD INTERNACIONAL",Total DAC
"Fundación Alianza por Los Derechos, la Igualdad y  la Solidaridad Internacional",Total DAC
Fundación Halü Bienestar Humano,Total DAC
Fundacion para la Libertad de Prensa,Total DAC
Fundación Plan,Total DAC
Future of Orphans,Total DAC
FXB -  François-Xavier Bagnoud,Total DAC
Galicia Humanitarian Agency Foundation,Total DAC
Gargaaar Relief and Development Organization,Total DAC
Gaza Community Mental Health Programme,Total DAC
GEAD,Total DAC
Gemeinnützige Entwicklungszusammenarbeit GmbH (GEZA),Total DAC
Geneva Call,Total DAC
Geneva InterNational Centre for Humanitarian Demining,Total DAC
Geohazards InterNational,Total DAC
German Doctors e.V.,Total DAC
German Doctors for Developing Countries,Total DAC
"German medical aid organisation ""action medeor""",Total DAC
German Toilet Organization e.V.,Total DAC
Gifts in kind InterNational,Total DAC
Glencree Centre for Peace and Reconciliation,Total DAC
Global Aid Hand,Total DAC
Global Aid Network,Total DAC
Global Communities,Total DAC
Global Family,Total DAC
Global Giving,Total DAC
Global H20,Total DAC
Global Human Rights Defence,Total DAC
Global Network for Disaster Reduction,Total DAC
Global One 2015,Total DAC
Global Resource Services,Total DAC
Global Rights,Total DAC
GOAL/IRC,Total DAC
Golweyne Relief and Rehabilitation,Total DAC
GORTA,Total DAC
Greek Committee For InterNational Democratic Solidarity,Total DAC
Green Cross,Total DAC
GRET,Total DAC
"Groupe antiraciste d’accompagnement, et de defense des étrangers et migrants",Total DAC
Groupe de Recherche et de Réalisations pour le Développement Rural,Total DAC
Groupe de Secours Catastrophes Francais,Total DAC
Groupe unifié pour l'épanouissement des enfants et pour le développement d'Haiti,Total DAC
GRSP - Ghazni Rural Support Program - Afghanistan,Total DAC
Grünhelme,Total DAC
Gruppo per le Relazioni Transculturali,Total DAC
Guilde du Raid,Total DAC
Gynécologie sans frontières,Total DAC
Habitat for Humanity InterNational,Total DAC
Hadia Medical,Total DAC
Halo Partnership,Total DAC
HALO Trust,Total DAC
Halte Aux Mines Antipersonnel ,Total DAC
Hammer Forum e.V,Total DAC
HAMOKED/CNTR DEF.OF INDIVIDUAL,Total DAC
Handicap Atlas Logistique,Total DAC
Handicap InterNational,Total DAC
Handicap InterNational Belgium,Total DAC
Handicap InterNational France,Total DAC
Handicap International Luxembourg,Total DAC
Handicap International USA,Total DAC
Handicap InterNational/France,Total DAC
Hands Together,Total DAC
Harikar,Total DAC
Hashemite Charity Organization of Jordan,Total DAC
Haukari e.V,Total DAC
Haut Comité de Secours libanais,Total DAC
Hayat Foundation,Total DAC
HCC-Humanitäre Nothilfeprogramme weltweit,Total DAC
Health Alliance InterNational,Total DAC
Health And Nutrition Development Society,Total DAC
Health Equity Initiatives Sdn Bhd,Total DAC
Health Link South Sudan,Total DAC
Health Poverty Action,Total DAC
HEALTH UNLIMITED,Total DAC
"Health, Development, Information and Policy Institute",Total DAC
Healthnet InterNational - Malaria Leishmaniasis Control Programme,Total DAC
HealthNet InterNational Transcultural Psychosocial Organisation,Total DAC
Heart Doctors,Total DAC
Heartland Alliance for Human Needs & Human Rights,Total DAC
Heart-to-Heart,Total DAC
Heifer International,Total DAC
Helen Keller InterNational,Total DAC
Helfende Hände e.V.,Total DAC
Hellef fir Rosario,Total DAC
Hellenic Rescue Team,Total DAC
HELP,Total DAC
Help - Hilfe zur Selbsthilfe e.V.,Total DAC
HELP e.V.,Total DAC
Help for school,Total DAC
Help the Aged,Total DAC
HelpAge InterNational,Total DAC
HelpAge International UK,Total DAC
Helpage Programme - RD Congo,Total DAC
HELVETAS,Total DAC
Heshima Kenya,Total DAC
Hidig Relief And Development Organization,Total DAC
Hilfe fur Kinder in Not e.V,Total DAC
Hilfe zur Selbsthilfe e.V.,Total DAC
Hilfsgemeinschaft Lippe e.V,Total DAC
Hilfswerk Austria InterNational,Total DAC
Hilfswerk Liechtenstein,Total DAC
Himalayan Human Rights Monitors,Total DAC
Himilo Organization for Development,Total DAC
Himilo Relief and Development Association,Total DAC
Hiran Women Action on Advocay for peace & Human Rights,Total DAC
Hoffnungszeichen - Sign of Hope e.V,Total DAC
Hogar de Cristo Santiago,Total DAC
Holistic Management,Total DAC
Home for Human Rights,Total DAC
Honduras Comité Permanente de Contingencias,Total DAC
HOPE,Total DAC
Hope for the Horn,Total DAC
Hope in Action,Total DAC
Hope Worldwide,Total DAC
HOPE’87 – Hundreds of Original Projects for Employment,Total DAC
HOPE'87,Total DAC
Hôpital de la Charité d'Oulan-Bator,Total DAC
Hopital sans Frontières,Total DAC
Horizont 3000,Total DAC
Horizonte Logico,Total DAC
Horn of Africa Organization for Protection of Environment and Improvement of Livelihoods,Total DAC
Horn Relief,Total DAC
Horn-Aid Kenya,Total DAC
Hospital Hermanos Ameijeiras,Total DAC
Hujra Village Support Organization,Total DAC
Human Appeal InterNational,Total DAC
Human Help Network e.V.,Total DAC
Human Moral Care,Total DAC
Human Resources Development Agency,Total DAC
Human Right Center in Iraq,Total DAC
Human Rights Foundation,Total DAC
Human Rights Watch,Total DAC
Humanitäre Hilfe für,Total DAC
Humanitarian Accountability Partnership InterNational,Total DAC
Humanitarian Action for Relief and Development Organisation,Total DAC
Humanitarian Aid Relief Trust,Total DAC
Humanitarian Integrity for Women Action on Advocacy for Peace and Human Right,Total DAC
Humanitarian Quality Assurance Initiative,Total DAC
Humanitarian Relief Foundation,Total DAC
HumaniTerra InterNational,Total DAC
Humanity Brotherhood Association  for Human Rights,Total DAC
Humedia InterNational,Total DAC
Humedica,Total DAC
Hungarian Interchurch Aid,Total DAC
Hunger Alert,Total DAC
IAM - InterNational Assistance Mission ,Total DAC
ICCO - Interchurch organisation for development co-operation,Total DAC
ICDP - InterNational Child Development Programme,Total DAC
ICU,Total DAC
IDE Myanmar,Total DAC
IFTIIN Education and Development Association,Total DAC
"IHH-Humanitarian Relief Foundation, Turkey",Total DAC
Iimaan Relief and Development Organization,Total DAC
Impact Forum Norway,Total DAC
INDE - Intercooperaçao e Desenvolvimento (Portuguese NGO),Total DAC
Indesch Patenschaften,Total DAC
Indivduell Mànniskohjàlp - Swedish NGO,Total DAC
InformAction,Total DAC
Initiative Congolaise pour la Gestion autonome des populations,Total DAC
Initiative Dritte Welt Braunau,Total DAC
Initiative for Change,Total DAC
INMED Partnership for Children,Total DAC
Innovative Development Organization,Total DAC
Innovative Humanitarian Solutions,Total DAC
Insan Association,Total DAC
Institut Européen de Coopération et de Développement,Total DAC
"Institute for Development, Research, Advocacy and Applied Care",Total DAC
Institute for InterNational Co-operation and Development,Total DAC
Institute for War and Peace Reporting,Total DAC
Institute of Cultural Affairs Japan,Total DAC
"Institute of Human Rights Communication, Nepal ",Total DAC
Integrated Rural Development and Nature Conservation,Total DAC
Inter Aide,Total DAC
Inter Religious Council,Total DAC
InterAct,Total DAC
InterAction,Total DAC
Interaction in Development Foundation,Total DAC
Inter-Actions,Total DAC
Intercare,Total DAC
Interchurch Medical Assistance,Total DAC
Interchurch Organisation for Development Co-operation,Total DAC
Interkerkelijke Organisatie voor Ontwikkelingssamenwerking,Total DAC
INTERMON,Total DAC
Intermon Oxfam,Total DAC
InterNational Action Network on Small Arms,Total DAC
InterNational Aid,Total DAC
InterNational Aid Hand,Total DAC
InterNational Aid Services,Total DAC
InterNational Aid Services Denmark,Total DAC
InterNational Alert,Total DAC
InterNational Association for Maternal and Neonatal Health ,Total DAC
InterNational Campaign to Ban Landmines,Total DAC
InterNational Coalition to Ban Uranium Weapons,Total DAC
InterNational Commission of Jurists,Total DAC
InterNational Commission on Missing Persons,Total DAC
InterNational Committee for the Development of Peoples,Total DAC
InterNational Council of Voluntary Agencies,Total DAC
InterNational Crisis Group,Total DAC
InterNational Dalit Solidarity Network,Total DAC
InterNational Development Enterprises,Total DAC
InterNational Development Law Organisation,Total DAC
InterNational Emergency and Development Aid Relief,Total DAC
International Eurasia Press Fund,Total DAC
InterNational Federation of Human Rights,Total DAC
InterNational Health Partners,Total DAC
InterNational HIV/AIDS Alliance,Total DAC
InterNational Human Rights Law Group,Total DAC
InterNational Humanitarian Service,Total DAC
InterNational Humanitarian Service ,Total DAC
InterNational Institute of Humanitarian Law,Total DAC
InterNational Islamic Charity Organization,Total DAC
InterNational Islamic Relief,Total DAC
InterNational Media Support,Total DAC
InterNational Medical Corps UK,Total DAC
InterNational Movement ATD Fourth World,Total DAC
International NGO Safety Organisation,Total DAC
"InterNational Nothilfe e.V., Coswig",Total DAC
InterNational Partnership for Human Development,Total DAC
International Planned Parenthood Federation,Total DAC
InterNational Service for Human Rights,Total DAC
InterNational Trust Fund for Demining and Victim Assistance ,Total DAC
InterNational Voluntary Agencies,Total DAC
International Volunteer Center of Yamagata,Total DAC
InterNational Work Group for Indigenous Affairs,Total DAC
InterNationaler Verein für Frieden und Gerechtigkeit - Pro Humanitate e.V. Köln,Total DAC
Internews Europe,Total DAC
Internews Network,Total DAC
INTERSOS,Total DAC
Intervita,Total DAC
Inuit Circumpolar Conference,Total DAC
InWent,Total DAC
Iraqi Handicapped Society,Total DAC
Iraqi Youth League,Total DAC
irshad and islah society lebanon,Total DAC
Islamic African Relief Agency,Total DAC
Islamic Center Society,Total DAC
Islamic Charity Association,Total DAC
Islamic Help,Total DAC
Islamic Relief Pakistan,Total DAC
ISRA - Islamic Relief Agency,Total DAC
Istanbul InterNational Brotherhood and Assistance Association,Total DAC
ISTITUTO OIKOS ONLUS,Total DAC
Italian Consortium of Solidarity,Total DAC
Jairos Jiri Association,Total DAC
Janus e.V,Total DAC
Japan Agency for Development and Emergency,Total DAC
Japan Asian Association and Asian Friendship Society,Total DAC
Japan Association for Refugees,Total DAC
Japan Campaign for children of Palestine,Total DAC
Japan Center for Conflict Prevention,Total DAC
Japan Emergency NGO,Total DAC
Japan Emergency NGOs,Total DAC
Japan International Volunteer Center,Total DAC
Japan Overseas Cooperation Volunteers,Total DAC
Japan Rescue Association,Total DAC
Japanese NGOs,Total DAC
JASMAR Human Security Organization,Total DAC
JCS - Joint Christian Services,Total DAC
Jesuit Refugee Service,Total DAC
John Dau Foundation,Total DAC
John Snow InterNational,Total DAC
Joint Aid Management International,Total DAC
Joint Mine Action Coordination Team,Total DAC
Joint Standards Initiative,Total DAC
Jordan Health Aid Society,Total DAC
Jordanian Charity Association,Total DAC
Jordanian Hashemite Charity Organisation,Total DAC
JPF - Japan Platform,Total DAC
Jubaland Development Organization,Total DAC
Jubbalandese Charity Centre,Total DAC
JUPEDEC (United Youth for the Protection of the Environment and Community Development),Total DAC
Just Associates,Total DAC
Just Peace Initiatives,Total DAC
KAALO Relief and Development Organisation,Total DAC
Kachin Baptist Convention,Total DAC
KAFA,Total DAC
Kanz Humanitarian organization,Total DAC
Katachel e.V,Total DAC
Katholische Männerbewegung,Total DAC
Kenya Land Alliance,Total DAC
Kerkinactie - Netherlands,Total DAC
KFUK/KFUM,Total DAC
Kher Khegara Tanzeem,Total DAC
Khushal Awareness and Development Organization,Total DAC
Khwendo Kor,Total DAC
Kinder brauchen uns e.V,Total DAC
Kinderberg InterNational e.V.,Total DAC
Kindernothilfe e.V.,Total DAC
Knowledge for Iraqi Women Society ,Total DAC
Kohsar Welfare and Educational Society,Total DAC
Kolnische Franziskanerprovinz Bosnienhilfe,Total DAC
Komitee Arzte,Total DAC
Komitee Cap Anamur,Total DAC
Kristna Freds,Total DAC
Kurdistan Reconstruction and Development Society,Total DAC
La Asociación Minga,Total DAC
La chaine de l'espoir,Total DAC
La ligue démocratique pour les droits de la femme,Total DAC
Labena Organization for Women Development Aid Capacity Building,Total DAC
Lacha Community and Economic Development,Total DAC
LAG - Latin-Amerikagruppene i Norge,Total DAC
Lamset Shifa,Total DAC
Landmine Action,Total DAC
Landmine Survivors Initiatives,Total DAC
Landmine Survivors Network,Total DAC
LandsAid e.V.,Total DAC
Las Dignas,Total DAC
Las Qorey Concern,Total DAC
Latter Day Saints,Total DAC
Lay Volunteers InterNational Association,Total DAC
Lazarus-Hilfswerk e.V.,Total DAC
Lead Against Marginality and Poverty,Total DAC
Lead Development Agency,Total DAC
Lebanese Association for Popular Action,Total DAC
Lebanese Institute for Democracy and Human Rights,Total DAC
Lebanon Support,Total DAC
Leprosy Aid Switzerland,Total DAC
"Liberia Dujar Association, Sweden",Total DAC
Lichtbrücke e.V,Total DAC
Ligue de la Zone Afrique pour la Défense des Droits des Enfants et Elèves,Total DAC
Local Action Organization,Total DAC
Louvain-Developpement,Total DAC
LSN - Landmine Survivors Network ,Total DAC
Lutheran Development Service,Total DAC
Lutheran World Federation,Total DAC
Lutheran World Relief,Total DAC
Lutheran World Relief (LWR/Canada),Total DAC
Lutherian World Fund,Total DAC
Lutherischer Weltbund Deutsches Nationalkomitee,Total DAC
MADERA,Total DAC
Madrasati,Total DAC
Magen David Adom,Total DAC
Magna Deti v nudzi [Magna Children at Risk],Total DAC
Maison Shalom Ruyigi,Total DAC
Makassed Philanthropic Islamic Association of Beirut,Total DAC
Makhzoumi Foundation,Total DAC
Malaria Consortium,Total DAC
Malilangwe Trust,Total DAC
Malteser InterNational,Total DAC
Management Sciences for Health,Total DAC
Mani Tese,Total DAC
MANNA,Total DAC
Manos Unidas,Total DAC
MapAction,Total DAC
Marie Stopes InterNational,Total DAC
Masar,Total DAC
Mavambo Orphan Care,Total DAC
Medecins d'Afrique,Total DAC
Médecins d'Afrique,Total DAC
Médecins du Monde Belgium,Total DAC
Médecins du Monde Canada,Total DAC
Médecins du Monde France,Total DAC
Médecins du Monde Greece,Total DAC
Médecins du Monde Suisse,Total DAC
Médecins sans Frontières - Canada,Total DAC
Médecins sans Frontières - France,Total DAC
Médecins sans Frontières - Luxembourg,Total DAC
Médecins sans Frontières - Norway,Total DAC
Media Action Intl.,Total DAC
Media Frontiers,Total DAC
Medica Mondiale,Total DAC
Medical Emergency Relief InterNational Charitable Trust,Total DAC
Medical Relief Society,Total DAC
Medical Teams InterNational ,Total DAC
Medico Intl.,Total DAC
Medicos del Mundo,Total DAC
Medicos del Mundo Argentina,Total DAC
Medicos do Mundo,Total DAC
Medicos en catastrofe (MEC),Total DAC
Medicos sin Fronteras,Total DAC
Medicuba en Salud,Total DAC
MediCuba-Suisse,Total DAC
Medicus Mundi,Total DAC
Mediothek für Afghanistan e.V,Total DAC
Meds & Food for Kids,Total DAC
Medshare,Total DAC
MEMISA - Action médicale missionnaire ,Total DAC
Mena Organization for Services Advocacy integration and Capacity Building,Total DAC
Menschen für,Total DAC
Menschen Gegen Minen,Total DAC
Mensen in Nood Caritas,Total DAC
Mentor Initiative,Total DAC
Mercy Corps ,Total DAC
Mercy Hands for Humanitarian Aid,Total DAC
Mercy Relief,Total DAC
Mercy Ships,Total DAC
Merti Integrated Development Programme,Total DAC
Mildmay,Total DAC
Millennium Promise Japan,Total DAC
Millennium Relief and Development,Total DAC
Miloserdie (Mercy)  ,Total DAC
Mine Action Canada,Total DAC
Mine Clearance and Planning Agency,Total DAC
Mines Advisory Group,Total DAC
Mingalar Myanmar,Total DAC
Minority Rights Group InterNational,Total DAC
MISOLA,Total DAC
Mission East,Total DAC
Mission Enfance,Total DAC
Mission Ost - DNK,Total DAC
Monastery Saint James the Mutilated,Total DAC
Monitoring Evaluation And Training Agency,Total DAC
Mouvement non violent syrien,Total DAC
"Movimiento por la Paz, el Desarme y la Libertad",Total DAC
"Movimiento Por La Paz, El Desarme Y La Libertad, (E)",Total DAC
MOVIMONDO,Total DAC
"MPDL - Movimiento por la Paz, el Desarme y la Libertad",Total DAC
MPDL - PRTM,Total DAC
Mubarak for Relief and Development Organization,Total DAC
Muslim Aid and GlobalMedic,Total DAC
Mvuramanzi Trust,Total DAC
Mwelekeo Trust,Total DAC
Myanmar Business Coalition on AIDS,Total DAC
Myanmar Health Assistant Association,Total DAC
Myanmar Heart Development Organization,Total DAC
Myanmar NGO Contingency Plan Steering Committee,Total DAC
Nahda Makers Organization,Total DAC
Najat Charitable Society,Total DAC
Namibia CARES Movement,Total DAC
National Demining Units Organization,Total DAC
National Democratic Institute,Total DAC
National Federation of UNESCO Association in Japan,Total DAC
National Institution of Social Care & Vocational Training,Total DAC
National Integrated & DevelopmeDewant Association (NIDA-Pakistan),Total DAC
National Integrated Development Agency,Total DAC
National Peace Corps Association,Total DAC
Nehemia Christenhilfsdienst e.V.,Total DAC
Neighbors Initiative Alliance,Total DAC
NetHope,Total DAC
New Iraqi Woman Organization,Total DAC
Next Step Productions,Total DAC
NGO Coordination Committee for Iraq,Total DAC
NGO Coordination Committee in Iraq,Total DAC
NGO FORUM,Total DAC
NGO Free Ukraine,Total DAC
NGO Fridsro,Total DAC
NGO Mondo,Total DAC
NGO Ninez y Vida,Total DAC
NGO Safety Program,Total DAC
NGO Security Programme,Total DAC
NGO Ukrainian Cultural Center,Total DAC
Nile Hope,Total DAC
Nile People's Peace Conference,Total DAC
Nippon InterNational Cooperation for Community Development,Total DAC
Non Violent Peace Force ,Total DAC
Nonviolence InterNational,Total DAC
Nonviolent Peaceforce,Total DAC
Noon Charity Organization,Total DAC
Norsk Luthersk Misjonssamband,Total DAC
Norske Menneskerettighetsfond,Total DAC
Norske Pinsemenigheters Ytremisjon,Total DAC
Norske Redningshunder,Total DAC
Northern Aid,Total DAC
Northwest Medical Teams InterNational,Total DAC
NORWAC - Norwegian Aid Committee,Total DAC
Norwegian Afghanistan Committee,Total DAC
Norwegian Capacity,Total DAC
Norwegian Church Aid,Total DAC
Norwegian Mission Association,Total DAC
Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,Total DAC
Not on our Watch,Total DAC
Nova - Centre per la Innovació Social / NOVACT,Total DAC
NOVIB,Total DAC
"Nuba Mountain Relief, Rehabilitation and Development Organization",Total DAC
Nuba Mountains International Association for Development,Total DAC
Nuer Peace Council,Total DAC
Objectif Tiers Monde,Total DAC
OCAPROCE,Total DAC
Ockenden InterNational,Total DAC
Oeuvre d'Orient,Total DAC
Oeuvres hospitalières françaises de l'Ordre de Malte,Total DAC
OIKOS - Intercooperação e Desenvolvimento ,Total DAC
OJAZ Foundation,Total DAC
Olympic Aid,Total DAC
One Step Further,Total DAC
"Onnuri Church, Rep. of Korea",Total DAC
öö Volkshilfe,Total DAC
Operation Mercy,Total DAC
Operation Save Innocent Lives,Total DAC
Opportunities Industrialisation Centres InterNational,Total DAC
ORA e. V. Deutsher Hilfsfonds,Total DAC
ORA InterNational Lobito,Total DAC
Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre,Total DAC
Organisation Marocaine Des Droits de l'homme,Total DAC
Organization Catholique Pour la Promotion Humaine,Total DAC
Organization for Research and Community Development,Total DAC
Organization for Voluntary Humanitarian Assistance Programme,Total DAC
OVERSEAS-Onlus,Total DAC
OXFAM Australia,Total DAC
OXFAM Belgium,Total DAC
OXFAM Canada,Total DAC
Oxfam Italia,Total DAC
OXFAM Quebec,Total DAC
OXFAM Solidarite,Total DAC
Oxfam/Community Aid Abroad/Intermon/Novib,Total DAC
PACT Myanmar,Total DAC
PACTEC,Total DAC
Pakistan Humanitarian Forum (consortium),Total DAC
Pakistan Village Development Program,Total DAC
Palestinakomiteen i Norge,Total DAC
Palestine Solidarity Organisation in Sweden,Total DAC
Palestinian Agricultural Relief Committees,Total DAC
Palestinian Al Nakheel Association for Progress and Development,Total DAC
Palestinian Association for Development and Reconstruction,Total DAC
Palestinian Center of Organic Agriculture,Total DAC
Palestinian Environmental Friends,Total DAC
Palestinian Farmers' Union,Total DAC
Palestinian Human Rights Monitoring Group,Total DAC
Palestinian Hydrological Group,Total DAC
Palestinian Hydrology Group,Total DAC
Palestinian Medical Relief Society,Total DAC
"Paradigm of Consciousness Ministries, Inc. ",Total DAC
PARCIC,Total DAC
Parlement des Jeunes Rwandais,Total DAC
Parliamentarians for Global Action,Total DAC
Partage,Total DAC
Participatory Integrated Development Society,Total DAC
Participatory Rural Development Society,Total DAC
Partner Aid InterNational,Total DAC
Partners in Health,Total DAC
Partners in Rural Development,Total DAC
Partnership Africa Canada,Total DAC
Partnership Center for Development and Democracy,Total DAC
Pastoralist Concern Association Ethiopia,Total DAC
Pastoralist Integrated Support Programme,Total DAC
Pathfinder InterNational,Total DAC
Pattan Development Organization,Total DAC
PCPM - Polish Center for InterNational Aid ,Total DAC
Peace Action Society Organisation for Somalia,Total DAC
Peace and Development Organization,Total DAC
Peace Bridge Association,Total DAC
Peace Brigades InterNational,Total DAC
Peace Winds,Total DAC
Peace Winds Japan,Total DAC
Pearl of Africa Environment,Total DAC
Pentecostal Foreign Mission,Total DAC
People Empowerment & Consulting Enterprise,Total DAC
People in Aid,Total DAC
People in Need ,Total DAC
People in Peril,Total DAC
Peoples Empowerment and Consulting Enterprise,Total DAC
Person in Need Relief Mission,Total DAC
Pharmaciens Sans Frontieres - Comite InterNational,Total DAC
Pharmaciens sans Frontières (France),Total DAC
Pharmaciens sans frontières (PSF),Total DAC
PHRO - Palestinian Human Rights Organisation ,Total DAC
Physicians Across Continents,Total DAC
Physicians for Human Rights,Total DAC
Plan Benin,Total DAC
Plan Canada,Total DAC
Plan Indonesia ,Total DAC
